id_pelanggan,nama_pelanggan,alamat,kota,provinsi,kode_pos,nomor_telepon,tanggal_lahir,jenis_kelamin,status_pelanggan
1,Kanda Tampubolon,"Jl. Rungkut Industri No. 9, Pangkalpinang, MU 59579",Pariaman,Maluku Utara,49207,+62-570-779-2198,1967-07-30,Perempuan,Aktif
2,Zelda Lailasari,"Gg. BKR No. 9, Serang, Banten 66255",Depok,Kalimantan Timur,13441,086 645 4225,2000-06-26,Laki-laki,Aktif
3,Malika Putra,"Jl. Kebonjati No. 43, Banjarbaru, MA 15222",Tanjungbalai,Nusa Tenggara Barat,38019,+62 (0473) 629-8440,1954-05-21,Perempuan,Nonaktif
4,dr. Raden Pratama,"Jalan Pasirkoja No. 67, Semarang, LA 81570",Kediri,Papua Barat,60825,+62 (0952) 146-0328,1983-02-01,Laki-laki,Nonaktif
5,Titin Waluyo,"Gang Moch. Toha No. 6, Cilegon, JI 27834",Kota Administrasi Jakarta Selatan,Jawa Tengah,53325,+62 (79) 306-3525,1976-03-03,Perempuan,Nonaktif
6,R.M. Garan Haryanto,"Jalan Kutisari Selatan No. 6, Dumai, DKI Jakarta 80891",Sibolga,Sulawesi Tengah,59869,+62-94-355-1643,1979-05-07,Laki-laki,Nonaktif
7,Reza Latupono,"Gg. R.E Martadinata No. 8, Gorontalo, Papua 40301",Madiun,Kalimantan Timur,27558,+62 (0376) 390-5036,1952-05-26,Laki-laki,Aktif
8,Caket Maheswara,"Jl. Cihampelas No. 51, Tasikmalaya, SS 24394",Probolinggo,Sulawesi Tenggara,16379,(0892) 074-0381,1981-09-22,Laki-laki,Aktif
9,Anggabaya Yolanda,"Gang Yos Sudarso No. 6, Medan, SS 09029",Tangerang Selatan,Kalimantan Selatan,34956,+62-170-103-2230,1971-05-19,Perempuan,Aktif
10,Elisa Marbun,"Jalan Ahmad Yani No. 7, Bekasi, SU 83516",Tual,Kalimantan Selatan,83685,+62 (0690) 731-7079,1954-07-02,Laki-laki,Aktif
11,Zamira Andriani,"Jl. Cikutra Timur No. 53, Bukittinggi, Sumatera Selatan 32176",Metro,Kalimantan Selatan,07352,+62 (0035) 636-5457,1963-03-15,Perempuan,Aktif
12,Cut Mila Waskita,"Gg. Joyoboyo No. 33, Tanjungbalai, Bali 29707",Kupang,Sulawesi Tenggara,03432,+62-67-365-8919,1991-08-25,Perempuan,Nonaktif
13,Ir. Nurul Astuti,"Gang Laswi No. 2, Kendari, DKI Jakarta 65269",Binjai,Kalimantan Barat,32938,081 116 5693,1947-09-11,Laki-laki,Aktif
14,Iriana Halimah,"Jl. Bangka Raya No. 54, Medan, BB 90810",Gorontalo,Kalimantan Timur,79776,0866204996,1991-06-11,Laki-laki,Aktif
15,Sabrina Halimah,"Jalan Moch. Toha No. 5, Metro, Riau 23614",Padang,Maluku,10354,+62-060-149-8863,1965-03-25,Laki-laki,Nonaktif
16,"Martaka Sitorus, M.Kom.","Jl. Dipatiukur No. 49, Pematangsiantar, AC 04731",Kendari,Sumatera Barat,07952,+62 (78) 343-0904,2005-01-08,Laki-laki,Aktif
17,Taufik Narpati,"Jalan Sukajadi No. 179, Bogor, BT 18138",Padangpanjang,Sumatera Utara,72994,+62 (872) 007-6278,2002-04-15,Laki-laki,Aktif
18,Lukita Hutasoit,"Jl. Astana Anyar No. 094, Batu, JI 07957",Madiun,Kalimantan Timur,05056,(0018) 147 3033,1980-02-04,Perempuan,Aktif
19,"Lasmono Wahyudin, S.T.","Gang Tubagus Ismail No. 3, Serang, Sulawesi Tenggara 24598",Kupang,Riau,50928,+62 (92) 431 9148,1966-05-18,Laki-laki,Nonaktif
20,Drs. Elma Puspita,"Gg. Cikutra Barat No. 16, Kota Administrasi Jakarta Selatan, Nusa Tenggara Barat 51434",Kediri,Papua,65766,+62 (0717) 450-1908,1974-02-16,Perempuan,Aktif
21,Galur Nurdiyanti,"Gg. Cikutra Barat No. 82, Kotamobagu, Papua 99386",Medan,Aceh,12716,+62 (040) 083 0128,1969-02-05,Perempuan,Nonaktif
22,Tiara Gunawan,"Gg. Cikutra Barat No. 215, Bogor, BA 91944",Batu,Sulawesi Utara,65870,0840422268,1953-10-28,Laki-laki,Aktif
23,Julia Salahudin,"Jl. Setiabudhi No. 3, Tebingtinggi, JK 22496",Jayapura,Kalimantan Selatan,46139,+62 (35) 043-5388,1968-02-13,Perempuan,Nonaktif
24,Fathonah Yulianti,"Gang Yos Sudarso No. 1, Gorontalo, Jawa Timur 30057",Kediri,Nusa Tenggara Barat,73363,0823733354,1983-01-26,Perempuan,Aktif
25,Jane Mayasari,"Jalan Gardujati No. 26, Palopo, KU 46361",Jayapura,Sulawesi Utara,77532,(0181) 468-6976,1974-07-19,Perempuan,Aktif
26,Shania Suryatmi,"Jalan Ahmad Dahlan No. 24, Tasikmalaya, JB 47982",Bima,Sulawesi Tenggara,88153,+62-16-792-7436,1993-10-31,Laki-laki,Nonaktif
27,Ian Usada,"Jl. Antapani Lama No. 1, Pariaman, KT 72675",Banda Aceh,Sulawesi Barat,12038,(054) 416 7803,1981-05-07,Perempuan,Nonaktif
28,"Rafid Sitompul, S.Sos","Jl. Kutai No. 048, Batam, Jawa Timur 77513",Subulussalam,Jawa Tengah,00904,0872690089,1946-11-30,Perempuan,Aktif
29,Siska Prastuti,"Jl. Cihampelas No. 26, Prabumulih, BE 60401",Kota Administrasi Jakarta Utara,Papua,42125,+62 (0190) 750 4462,1983-03-01,Laki-laki,Nonaktif
30,Hj. Kamila Uyainah,"Jalan Ahmad Yani No. 8, Metro, JB 41946",Jayapura,Nusa Tenggara Barat,67877,+62-0035-607-8702,1963-11-15,Perempuan,Nonaktif
31,Karimah Dongoran,"Gang Moch. Ramdan No. 51, Surakarta, KS 51521",Pekanbaru,Kepulauan Riau,28482,+62-045-784-5088,1959-03-06,Laki-laki,Aktif
32,Restu Andriani,"Gang Setiabudhi No. 87, Surabaya, Maluku Utara 65080",Pematangsiantar,Sulawesi Selatan,18477,+62 (036) 315-8647,1986-09-18,Laki-laki,Nonaktif
33,Mujur Gunawan,"Jalan Siliwangi No. 454, Kupang, Jawa Barat 12885",Pekanbaru,Aceh,33620,+62 (24) 746 6052,1974-03-15,Laki-laki,Aktif
34,"Irsad Suwarno, S.Ked","Gang Sentot Alibasa No. 62, Banda Aceh, Sulawesi Tenggara 86003",Purwokerto,DI Yogyakarta,33098,084 065 7740,1953-09-15,Laki-laki,Nonaktif
35,Makara Hastuti,"Gg. Cikapayang No. 364, Kota Administrasi Jakarta Selatan, RI 26802",Batam,Jawa Barat,75864,+62 (046) 080-5564,1967-08-15,Laki-laki,Nonaktif
36,"T. Darsirah Saefullah, S.I.Kom","Jalan Astana Anyar No. 280, Prabumulih, Sulawesi Barat 06965",Meulaboh,Papua,29222,+62-0656-433-6141,1981-02-22,Laki-laki,Aktif
37,"Tomi Wastuti, S.E.I","Jl. Sukajadi No. 5, Palangkaraya, YO 75058",Pangkalpinang,Sulawesi Barat,01240,085 559 0934,1965-02-04,Laki-laki,Nonaktif
38,Dian Firgantoro,"Gang Ciwastra No. 604, Bitung, Banten 22275",Pangkalpinang,Sulawesi Tenggara,54803,+62-98-071-1909,1977-05-18,Laki-laki,Nonaktif
39,Laila Pratama,"Gg. Suryakencana No. 0, Tidore Kepulauan, Maluku Utara 52046",Tidore Kepulauan,Riau,42799,+62-12-423-9432,1978-12-22,Laki-laki,Aktif
